soc_code,isco08_code
11-1011,1120
11-1021,1120
11-2021,1221
11-2022,1221
11-3011,1211
11-3021,1213
11-3031,1211
11-3051,1321
11-3061,1324
11-3071,1330
11-3111,1342
11-3121,1212
11-9021,1323
11-9031,1431
11-9041,1342
11-9051,1321
11-9111,1343
11-9121,1349
13-1111,2423
13-2011,2411
13-2021,2141
13-2031,2413
13-2041,2413
13-2051,2413
13-2061,2413
13-2071,3312
13-2072,3312
15-1211,2511
15-1212,2529
15-1221,2512
15-1231,2511
15-1232,2523
15-1241,3511
15-1244,3512
15-1251,2512
15-1252,2512
15-1253,2514
15-1254,2513
15-1255,2513
15-1299,2519
15-2011,2120
15-2021,2120
15-2031,2120
15-2041,2111
15-2051,2521
29-1141,2221
29-1171,2212
29-1211,2261
29-1212,2212
29-1213,2212
29-1214,2212
29-1215,2211
29-1216,2212
29-1218,2212
29-1221,2211
29-1222,2212
29-1223,2212
29-1224,2212
29-1229,2212
29-1241,2212
29-1031,2261
29-1051,2262
29-1122,2267
29-1123,2264
29-1127,2266
25-1011,2310
25-1021,2310
25-1022,2310
25-1031,2310
25-1032,2310
25-2011,2341
25-2012,2341
25-2021,2341
25-2022,2330
25-2031,2330
25-2052,2359
25-3011,2352
25-3021,2353
25-3031,2353
25-9031,2351
23-1011,2611
23-1012,2611
23-1021,2612
23-1022,2612
23-1023,2612
23-2011,2619
17-1011,2161
17-2011,2161
17-2021,2143
17-2031,2142
17-2041,2145
17-2051,2142
17-2061,2144
17-2071,2151
17-2072,2152
17-2081,2143
17-2111,2143
17-2112,2141
17-2121,2146
17-2131,2149
17-2141,2144
17-2151,2146
17-2161,2143
17-2171,2146
41-1011,5222
41-1012,5222
41-2011,5230
41-2021,5223
41-2031,5211
41-3011,3322
41-3021,3321
41-3031,3324
41-4011,3322
41-4012,3322
41-9021,3334
41-9022,3334
43-1011,3341
43-3011,4311
43-3021,4311
43-3031,4311
43-3051,4312
43-3061,4312
43-4011,4226
43-4031,4419
43-4041,4131
43-4051,4225
43-4071,4323
43-4081,4323
43-4111,4120
43-4121,3354
43-4131,3312
43-4141,4312
43-4151,4321
43-4161,4222
43-4171,4222
43-4181,4224
43-5011,4412
43-5021,4412
43-5031,3431
43-5032,4223
43-5041,4415
43-5051,4412
43-5052,9621
43-5053,4412
43-5061,4321
43-5071,4321
43-5111,4321
43-6011,4120
43-6012,3344
43-6013,3344
43-6014,4120
43-9011,2423
43-9021,4132
43-9022,4131
43-9031,4110
43-9041,3321
43-9051,4110
43-9061,4110
43-9071,4110
43-9081,4415
43-9111,4312
35-1011,5120
35-1012,5120
35-2011,5120
35-2012,5120
35-2013,5120
35-2014,5120
35-2015,5120
35-2019,5120
35-2021,9412
35-3011,5132
35-3021,5131
35-3022,5246
35-3031,5131
35-3041,5131
35-9011,9412
35-9021,9412
35-9031,5246
47-1011,3123
47-2011,7111
47-2021,7112
47-2022,7113
47-2031,7115
47-2041,7124
47-2042,7122
47-2043,7122
47-2044,7123
47-2051,9313
47-2053,7114
